NR-AR,NR-AR-LBD,mol_id,smiles
0,0,TOX4681,CC(C)(C)N
0,0,TOX1843,N#Cc1ccccn1
0,0,TOX27179,CCCCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCCCC(C)C
0,0,TOX2529,COC(=O)c1ccc(O)cc1
0,0,TOX24831,CCCCOC(=O)C(C)OC(=O)CCC
0,0,TOX3889,CCOC(=O)C(C)Oc1ccc(Oc2cnc3cc(Cl)ccc3n2)cc1
0,0,TOX27657,CCCCCCC(O)CCOC(C)=O
0,0,TOX27443,COc1cc(C)cc(O)c1
0,0,TOX1235,CCN(CC)c1cc2[o+]c3cc(N(CC)CC)c(C)cc3c(-c3ccc(S(=O)(=O)[O-])cc3S(=O)(=O)[O-])c2cc1C
1,0,TOX4662,COc1cc2c(cc1OC)[C@@]13CCN4CC5=CCO[C@H]6CC(=O)N2[C@H]1[C@H]6[C@H]5C[C@H]43
0,0,TOX21269,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@]21CC[C@@]3(C)O
1,1,TOX1185,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,0,TOX24619,CCCCCCCCNC
0,0,TOX7561,COC(=O)CCSCCC(=O)OC
0,0,TOX721,CCOc1ccc(NC(=O)CC(C)O)cc1
0,0,TOX27130,C/C=C(\C)C(=O)OCc1ccccc1
0,0,TOX1764,CC(O)CN
1,1,TOX2673,CCCCC(=O)O[C@]1(C(=O)CO)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
0,0,TOX17515,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl
0,0,TOX26189,CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1
0,0,TOX1883,C#CCO
0,0,TOX29382,CCN(CC)CCNC(=O)c1ccc(N)cc1
0,1,TOX3764,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
0,0,TOX27617,COc1cc(C)ccc1C(C)C
0,0,TOX4311,O=C([O-])CF
0,0,TOX2946,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O
0,0,TOX24491,NC(=O)CN1CCCC1=O
0,1,TOX6314,[O-][n+]1ccccc1S[Zn]Sc1cccc[n+]1[O-]
0,0,TOX27094,CCOC(=O)CC(=O)c1ccccc1
0,0,TOX26989,N[C@H](Cc1c[nH]c2ccccc12)C(=O)O
0,0,TOX348,O=c1ccc2ccccc2o1
0,0,TOX26432,CN1C[C@@H]2C[C@H]1CN2c1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1
0,1,TOX26342,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
0,0,TOX28963,c1ccc(C(O[C@H]2CCCN(CCc3ccc4c(c3)OCO4)C2)c2ccccc2)cc1
0,0,TOX7970,CC(C)(O)CCCC1=CCC(C=O)CC1
0,0,TOX28150,Cc1occc1C(=O)Nc1ccc(C(=O)N2CCC(F)(F)/C(=C\C(=O)N3CCC(N4CCCCC4)CC3)c3ccccc32)cc1.Cc1occc1C(=O)Nc1ccc(C(=O)N2CCC(F)(F)/C(=C\C(=O)N3CCC(N4CCCCC4)CC3)c3ccccc32)cc1
1,0,TOX38,C=CCOc1ccc(CC(=O)O)cc1Cl
0,0,TOX27174,CCCCOCCOC(=O)c1ccccc1C(=O)OCCOCCCC
1,1,TOX25867,CC(=O)Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
0,0,TOX25598,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)CC3)nc(N)c2cc1OC
0,0,TOX25590,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)[O-])=C(CSc3nnnn3C)CS[C@@H]21
0,0,TOX22379,CO[Si](C)(C)OC
0,0,TOX27134,CC=CC(=O)CCCC
0,0,TOX53,CCOc1ccc(NC(C)=O)cc1N
0,0,TOX6557,OCCN(CCO)c1cccc(Cl)c1
0,0,TOX27267,Cc1nc(C)nc(N2C[C@H](C)N(c3ccnc([C@@H](C)O)n3)[C@H](C)C2)n1
1,1,TOX3061,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,0,TOX5037,CCN(CC)c1cccc(O)c1
0,0,TOX2107,Cc1ncc[nH]1
0,0,TOX26411,CCC(C)(S(=O)(=O)CC)S(=O)(=O)CC
0,0,TOX27135,Cc1ccccc1S
0,0,TOX20718,COc1cc(Cl)c(OC)cc1N
0,0,TOX26695,CNC1CCCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2OC)C1
0,0,TOX26200,COc1ccc(Cc2cnc(N)nc2N)cc1OC
0,0,TOX463,CCN(C=O)CC
0,0,TOX7133,CCOP(=S)(S)OCC
0,0,TOX25160,O=C1CCC(c2ccc(-n3ccnc3)cc2)=NN1
0,0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1
0,1,TOX4866,CN(C)c1ccc(C2(c3ccc(N(C)C)cc3)OC(=O)c3cc(N(C)C)ccc32)cc1
0,0,TOX24401,N=C(N)c1ccccc1
0,0,TOX22219,CCCc1ccccc1
0,0,TOX24425,COC(=O)CCC(=O)O
1,1,TOX26198,CCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
0,0,TOX28515,CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12
0,0,TOX7832,CCCCC(CC)COC(=O)Cl
1,1,TOX2671,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
0,0,TOX575,C=CCc1ccc(OC)cc1
0,0,TOX29385,N#CC(C#N)=C(C#N)C#N
0,0,TOX6619,O=S(=O)(Cl)c1ccccc1
0,0,TOX24375,C=CCOCC(O)CO
0,0,TOX25682,CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C
0,0,TOX27674,CC1=C(O)C(=O)OC1C
0,0,TOX21253,CC1OC(=O)C(C)OC1=O
0,0,TOX28578,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1.CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
0,0,TOX29002,CC(C(=O)O)c1ccc2c(c1)CC(=O)c1ccccc1S2
0,0,TOX25538,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
0,0,TOX7498,CC(C)(N=C=O)c1cccc(C(C)(C)N=C=O)c1
0,0,TOX26525,COc1cc(O)cc(O)c1
0,0,TOX26434,O=C(CS(=O)Cc1ccco1)NC/C=C\COc1cc(CN2CCCCC2)ccn1
0,0,TOX26226,O=C(N/N=C/c1ccc([N+](=O)[O-])o1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
0,0,TOX3085,CCCCc1ccc(C(=O)O)nc1
0,0,TOX29068,CCCC[n+]1cccc(C)c1
0,0,TOX27033,OC[C@H]1O[C@@H]2O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)O[C@H](O[C@@H]7[C@@H](CO)O[C@H](O[C@@H]8[C@@H](CO)O[C@H](O[C@@H]9[C@@H](CO)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O
0,0,TOX25671,CC(C)NCC(O)COc1ccccc1-n1cccc1
0,0,TOX27408,COC(=O)CC(C)CCC=C(C)C
0,0,TOX426,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
0,0,TOX25315,CC(CN(C)C)CN1c2ccccc2CCc2ccccc21
0,0,TOX28844,C[C@H](CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1
0,0,TOX25145,CN(C)CC/C=C1\c2ccccc2COc2ccccc21
0,0,TOX26245,CCCCCCOC(=O)c1cccnc1
0,0,TOX449,COP(=O)(OC)OC=C(Cl)Cl
0,0,TOX1520,CCCCOCCOCCOCCO
0,0,TOX1421,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O
0,0,TOX2060,O=Cc1ccccc1[N+](=O)[O-]
0,0,TOX1275,CCN(CC)C(=S)[S-]
0,0,TOX29069,O=C1c2ccccc2C(=O)c2cc(Cl)ccc21
0,0,TOX815,CC1CN1P(=O)(N1CC1C)N1CC1C
0,0,TOX27952,CC(=O)C=CC1=C(C)CCCC1(C)C
0,0,TOX1030,O=NN(c1ccccc1)c1ccccc1
0,0,TOX6880,CC(=O)OCCOC(C)=O
0,0,TOX26269,c1ccc2c(c1)OCC(CN1CCCCC1)O2
0,0,TOX27176,C1=CCC(c2ccccc2)CC1
0,0,TOX10384,Nc1ccc(Cl)cc1[N+](=O)[O-]
0,0,TOX28925,CN(C(=O)C(Cl)Cl)c1ccc(OC(=O)c2ccco2)cc1
0,0,TOX1885,CC(O)CC(C)(C)O
0,1,TOX23909,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
0,0,TOX24819,O=C([O-])c1cc(C(=O)O)cc(S(=O)(=O)O)c1
0,0,TOX3113,COc1ccccc1O
0,1,TOX3907,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
0,0,TOX4072,CN(C)C(=O)C(c1ccccc1)c1ccccc1
0,0,TOX25316,c1ccc2c(c1)CCCC2C1=NCCN1
0,0,TOX5864,CCOc1ccc(N)cc1
0,0,TOX1762,CCC(C)O
0,0,TOX24933,O=C=NCC1CCCC(CN=C=O)C1
0,0,TOX22579,O=C1NCN(c2ccccc2)C12CCN(CCCOc1ccc(F)cc1)CC2
0,0,TOX1841,CNc1ccccc1
0,0,TOX151,CC(=O)OCc1ccccc1
0,0,TOX25101,C[N+]1([O-])[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21
0,0,TOX26185,COc1ccc(/C=N\NC(=O)c2ccncc2)c(C(=O)O)c1OC
0,0,TOX20651,CO[C@H]1O[C@@H]2O[C@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)C42OO3
0,0,TOX79,O=C([O-])CC(O)(CC(=O)O)C(=O)[O-]
0,0,TOX7343,CC(C)(C)c1ccc(C=O)cc1
1,1,TOX3303,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)[O-])[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
0,0,TOX2941,CN(C)CCCN1c2ccccc2C(C)(C)c2ccccc21
0,0,TOX29003,CC(C(=O)O)c1ccc(C2CCCCC2)c2ccccc12
0,0,TOX21709,Cc1cc(S(=O)(=O)[O-])ccc1/N=N/c1c(O)ccc2ccccc12
0,0,TOX5809,CCCCCCCC/C=C\CCCCCCCC(=O)O
0,0,TOX25591,CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1
0,0,TOX6573,c1ccc2sc(SSN3CCOCC3)nc2c1
0,0,TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1
0,0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
0,0,TOX14627,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl
0,0,TOX7542,O=[N+]([O-])c1ccc(C=Cc2ccc([N+](=O)[O-])cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1
0,0,TOX27037,CS(=O)(=O)c1ccc(C(=O)C2C(=O)CCCC2=O)c(Cl)c1COCC(F)(F)F
0,0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C
1,0,TOX26078,CC(=O)Oc1c(C)cc(OCC(O)CNC(C)C)c(C)c1C
0,0,TOX10189,Nc1ccccc1-c1ccccc1
0,0,TOX17757,C=CCCCCCCCCC=O
0,0,TOX24931,C=C(C)C(=O)OCCNC(C)(C)C
0,0,TOX7039,OCC(CO)(CO)COCC(CO)(CO)CO
0,0,TOX18686,Cc1cccc(C(=O)O)c1O
1,1,TOX2904,CCCCC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
0,0,TOX7244,CCC(Cl)CCl
0,0,TOX26904,CCN(CC)CCO[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]32)C1
0,0,TOX6181,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
0,0,TOX1901,CCCOC(C)=O
0,0,TOX21703,CCCCc1ccc2cccc(S(=O)(=O)[O-])c2c1
0,0,TOX24400,CCCC[N+](CCCC)(CCCC)CCCC
0,0,TOX28571,COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1OP(=O)(O)O
0,0,TOX2605,CC(C)CCON=O
1,1,TOX1184,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,0,TOX24490,COC(=O)c1sccc1S(N)(=O)=O
0,0,TOX92,COc1ccccc1N
0,0,TOX22065,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]([C@H]4C=C[C@H]3C4)[C@@]1(Cl)C2(Cl)Cl
0,0,TOX1427,CCOC(N)=O
0,0,TOX26926,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCC(=O)N1)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCSC)C(N)=O
1,1,TOX14192,C[C@]12C=CC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@H]2O
1,1,TOX26478,C#C[C@]1(O)C=C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
0,0,TOX21827,O=C(Nc1ccc(Cl)c(Cl)c1)C1CC1
0,0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
0,0,TOX3542,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
0,0,TOX25147,CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1
0,0,TOX4051,CC(C)OP(C)(=O)OC(C)C
0,0,TOX21085,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23
0,0,TOX3376,CNC(=C[N+](=O)[O-])NCCSCc1csc(CN(C)C)n1
0,0,TOX25862,CCN(CC)CCNC(=O)COc1ccc(OC)cc1
0,0,TOX28490,O=C([N-]S(=O)(=O)/C=C/c1ccccc1)c1ccc(F)cc1Cl
0,1,TOX1084,COc1cc(/C=C/C(=O)O[C@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@H](C)CCC=C(C)C)CC[C@@]3(C)[C@@H]5CC[C@H]4C2(C)C)ccc1O
0,0,TOX957,Nc1ccc(N)c([N+](=O)[O-])c1
0,0,TOX24879,CCC(CO)(CO)COCC(CC)(CO)CO
0,0,TOX27071,Cc1ccccc1CCO
0,0,TOX2968,Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O
0,0,TOX27039,CCNC(=O)C1CC(C)CCC1C(C)C
0,0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1
1,0,TOX24836,O=C(c1ccc(O)cc1)c1ccc(O)cc1O
0,0,TOX27362,CCOC(=O)[C@]1(c2ccccc2)Oc2ccccc2[C@@H]1N
0,0,TOX24915,CC1COc2ccccc2N1
0,0,TOX5641,Cc1cc(C(=O)O)ccc1[N+](=O)[O-]
0,0,TOX958,Nc1ccc([N+](=O)[O-])cc1N
0,0,TOX6881,CCCCCCCCCCCCCCCCCC(=O)OCCO
0,0,TOX13447,CC(C)N(C)C
0,0,TOX25860,CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1
,0,TOX7565,CC(=O)O[Si](C)(OC(C)=O)OC(C)=O
0,0,TOX25533,CCN(CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1
0,1,TOX24658,N=C1NC(=N)c2ccccc21
0,0,TOX5761,Cc1ccc2ccccc2c1[N+](=O)[O-]
0,0,TOX2949,CN(C)CCOC(c1ccccc1)c1ccccc1
0,0,TOX26437,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F
0,0,TOX26906,CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1
0,0,TOX1803,CC(=O)CC(=O)c1ccccc1
0,0,TOX20320,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
0,0,TOX20691,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1
0,0,TOX27446,O=C(COc1ccc(Cl)cc1)N1CCN(Cc2ccc3c(c2)OCO3)CC1
0,0,TOX29380,Nc1nc(Cl)cc(Cl)n1
1,1,TOX4834,O=C/C=C/c1ccccc1
0,0,TOX14456,Cc1ccccc1CO[C@H]1C[C@]2(C(C)C)CC[C@@]1(C)O2
0,0,TOX1135,Oc1ccc2ccccc2c1/N=N/c1ccccc1
0,0,TOX24740,CC(C)OC(=O)CCC(=O)OC(C)C
1,1,TOX3094,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC
0,0,TOX7546,C=C(C)c1cccc(C(=C)C)c1
0,0,TOX26415,CCN(CC)CCNC(C(=O)OCCC(C)C)c1ccccc1
0,0,TOX27935,FC(F)(F)c1ccc(Cl)cc1Cl
0,0,TOX153,ClCc1ccccc1
0,0,TOX28771,CO[C@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@H]21
0,0,TOX25109,CNCCC=C1c2ccccc2CCc2ccccc21
0,0,TOX27404,CN(C)CCN(Cc1cccs1)c1ccccn1.CN(C)CCN(Cc1cccs1)c1ccccn1
0,0,TOX7134,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
0,0,TOX680,C1CCCNCCC1
0,0,TOX6204,O=[N+]([O-])c1c(Cl)cc(Cl)cc1Cl
0,0,TOX55,CCn1c2ccccc2c2cc(N)ccc21
0,0,TOX25271,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
0,0,TOX20731,CC(C)OC(=O)c1ccccc1C(=O)OC(C)C
0,0,TOX28550,O=C([O-])c1ccccc1O.O=C([O-])c1ccccc1O.[Zn+2]
0,0,TOX27248,Cc1cc2c3c(c1)C(c1ccccc1)=N[C@@H](NC(=O)c1ccncc1)C(=O)N3CC2
0,0,TOX25165,CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
0,0,TOX26015,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1N
0,1,TOX27820,NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1
0,0,TOX1343,N#C[S-]
,0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1
0,0,TOX2614,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
0,0,TOX20758,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21
0,0,TOX25745,COc1ccc(CCN(C)CCCN2CCc3cc(OC)c(OC)cc3CC2=O)cc1OC
0,0,TOX5665,Cc1c[nH]c(=S)[nH]c1=O
1,1,TOX5050,NCCNCCN
0,0,TOX28829,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C
0,0,TOX15620,CC1=CC(=O)[C@H]2C[C@@H]1C2(C)C
0,0,TOX28575,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)=O)C1c1ccccc1[N+](=O)[O-]
0,0,TOX1823,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
0,0,TOX12520,CO/C=C(/C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
1,1,TOX26722,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(=O)c1cccc(S(=O)(=O)[O-])c1
0,0,TOX4316,CNC(=O)N(C)c1nnc(C(C)(C)C)s1
0,0,TOX1596,CCCCCCCCCCCCCCCCC(=O)O
0,0,TOX7500,CCCOCCO
0,0,TOX20710,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
0,0,TOX1822,CC(C)N(CCO)C(C)C
0,0,TOX18762,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
0,0,TOX26923,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Oc2c(C)c(C)c3c(c2C)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O3)C(C)(C)CCC1
0,0,TOX4359,Oc1cc(Cl)c(Cl)cc1Cl
0,0,TOX4599,c1ccc(CSCc2ccccc2)cc1
0,0,TOX1847,c1ccc(Oc2ccccc2)cc1
0,0,TOX4057,CNC
0,0,TOX7386,C=CC(=O)OCCCCCCCC(C)C
,0,TOX28962,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1
0,0,TOX9184,Nc1ccc(S(=O)(=O)[O-])cc1
0,0,TOX27072,CC1=CC(O)CC(C)(C)C1
1,1,TOX1071,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
0,0,TOX24765,CC(=O)OCC=Cc1ccccc1
0,0,TOX26224,OC[C@H]1O[C@H](O[C@@]2(CO)O[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
0,0,TOX27411,O=C(C=Cc1ccccc1)OCCCc1ccccc1
0,0,TOX17739,Oc1ccc(Nc2ccccc2)cc1
0,1,TOX894,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
0,0,TOX25330,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2
0,0,TOX25752,OCCN1CCN(CCCN2c3ccccc3C=Cc3ccccc32)CC1
0,0,TOX17712,CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1
0,0,TOX1770,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1
0,0,TOX24815,CCCCOC(=O)CCCCCCCC(=O)OCCCC
0,0,TOX25085,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
0,1,TOX12647,N#CSCSc1nc2ccccc2s1
0,0,TOX25108,Cc1cc(C(=O)O)c(C)n1-c1cccc(C(=O)O)c1.O=C1C[C@@H]2OCC=C3CN4CC[C@]56c7ccccc7N1[C@H]5[C@H]2[C@H]3C[C@H]46
0,0,TOX22451,Clc1sc(Cl)c(Cl)c1Cl
0,0,TOX24441,Cc1ccccc1CCl
0,0,TOX26630,Cc1cc(O)c(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)cn1
0,0,TOX27093,CCCCCC#CC(=O)OC
0,0,TOX664,OCC(O)CCl
0,0,TOX27118,Cc1occc1S
1,0,TOX26452,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F
0,0,TOX4783,C=CC(=O)OCCCl
0,0,TOX9233,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O
0,0,TOX26055,COc1ccc(C=CC(=O)OCCC(C)C)cc1
0,0,TOX2821,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1
0,0,TOX25169,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
0,1,TOX10636,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
0,0,TOX28821,CCN(CC)CCc1c[nH]c2ccccc12.CCN(CC)CCc1c[nH]c2ccccc12
0,0,TOX25300,CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1
1,1,TOX28899,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
0,0,TOX321,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1
